,time,lat,lon,Temperature,Variable,SSP
11,2040-12-01 12:00:00,22.0,91.0,26.84000015258789,Daily maximum near-surface air temperature,SSP585
11,2040-12-01 12:00:00,22.0,91.0,10.1000003814697,Tr tropical nights,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.0,Hi35 heat index 35 degc and higher,SSP585
11,2040-12-01 12:00:00,22.0,91.0,11.199999809265092,Anomaly of tr tropical nights relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,1.5199999809265137,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,1.75,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,26.420000076293945,Daily maximum near-surface air temperature,SSP245
11,2040-12-01 12:00:00,22.0,91.0,23.010000228881836,Near-surface air temperature,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.0,Hi35 heat index 35 degc and higher,SSP245
11,2040-12-01 12:00:00,22.0,91.0,6.099999904632592,Anomaly of tr tropical nights relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,1.100000023841858,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,1.100000023841858,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,23.65999984741211,Near-surface air temperature,SSP585
11,2040-12-01 12:00:00,22.0,91.0,15.199999809265092,Tr tropical nights,SSP585
