,time,lat,lon,Precipitation,Variable,SSP
11,2040-12-01 12:00:00,22.0,91.0,16.579999923706055,Precipitation,SSP585
11,2040-12-01 12:00:00,22.0,91.0,0.7699999809265137,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,-3.1700000762939453,Anomaly of precipitation relative to 1995-2014,SSP585
11,2040-12-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.15000000596049767,R20mm heavy precipitation days,SSP245
11,2040-12-01 12:00:00,22.0,91.0,15.960000038146973,Precipitation,SSP245
11,2040-12-01 12:00:00,22.0,91.0,-3.819999933242798,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,-3.7899999618530273,Anomaly of precipitation relative to 1995-2014,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.15000000596049767,R20mm heavy precipitation days,SSP585
11,2040-12-01 12:00:00,22.0,91.0,91.91999816894531,Maximum of 5-day cumulative precipitation,SSP585
