element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11266034572,school,"Noor Miah Master Biddaniketon, Hazi Badshah Miah Lane, Halishahar Road, Chattogram",POINT (91.790729 22.3275884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11266096441,school,"Port east colony primary school, Port east colony, Chattogram",POINT (91.7942715 22.3238901),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270862784,school,"Flower Flow School & College, Agrabad Access Rd, Chattogram",POINT (91.7914887 22.3302238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270866211,school,"Greenland School & College, Agrabad Access Rd, Chattogram",POINT (91.7919594 22.3299219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270879503,school,Silver Bells School and Greenland School Road,POINT (91.791602 22.329484),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270892071,school,Mosharraf Sirs Govt. School Admission Coaching,POINT (91.7913846 22.3300208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270894590,college,"Holy Nursing college, Choto pole, Agrabad Access Rd, Chattogram",POINT (91.7903892 22.3295219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270908578,driving_school,"BRAC Driving School Chattogram,Halishahar Rd, Chattogram",POINT (91.791803 22.3289234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270921400,school,"Shaheed Muktijoddha M Shamsul Haque Public School, Agrabad Access Rd, Chattogram",POINT (91.7934796 22.3310241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11270923760,school,,POINT (91.7941711 22.3308222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11271103248,school,Chattogram school and college,POINT (91.7981452 22.3310294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11271164141,school,"Shining Star School, House No- 104, Barir Nam Poddoneel, Gulbag AA/A, Agrabad, Chattogram",POINT (91.8017648 22.329287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
